,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items
75,1,Invisible Friends,"24,066.21",-71.06%,---,5.7,4.2K,5.0K
73,2,3Landers,"14,054.88",-17.29%,+139.52%,1.6,5.3K,10.0K
74,3,tubby cats by tubby collective,"12,117.25",-14.73%,+578.27%,0.44,10.5K,20.0K
69,4,Bored Ape Yacht Club,"9,587.16",-15.75%,+74.52%,87,6.3K,10.0K
72,5,Starcatchers,"6,437.86",-47.76%,---,0.38,5.5K,10.0K
70,6,CryptoPunks,"5,882.85",-61.66%,+116.56%,---,3.4K,10.0K
71,7,The Doggies (Snoop Dogg),"5,721.42",-7.57%,---,0.59,7.0K,10.0K
61,8,HOWLERZ,"5,522.19",-69.34%,---,0.59,2.2K,5.0K
68,9,NFT Worlds,"5,183.07",+62.26%,-46.12%,12,4.6K,10.0K
66,10,CLONE X - X TAKASHI MURAKAMI,"4,999.13",+8.63%,+2.49%,12.8,8.4K,18.9K
67,11,Azuki,"4,945.83",+20.06%,-48.88%,10.77,5.5K,10.0K
62,12,Mutant Ape Yacht Club,"4,680.36",-16.46%,+3.60%,18.1,11.8K,18.0K
65,13,mfers,"4,285.61",-11.34%,-46.90%,2.7,5.1K,10.0K
63,14,DEGEN TOONZ COLLECTION,"4,071.51",-35.87%,+2898.37%,0.68,4.2K,8.9K
64,15,WonderPals,"3,901.44",-84.03%,---,1.04,6.9K,9.0K
45,16,Doodles,"3,036.26",+17.67%,+65.45%,12.3,6.1K,10.0K
60,17,RTFKT - MNLTH,"2,854.81",+19.27%,+15.72%,5.39,8.8K,1
58,18,DentedFeelsNFT,"2,851.97",-9.67%,---,0.36,6.0K,11.1K
59,19,Pixelmon - Generation 1,"2,622.44",+65.95%,+190.08%,0.43,5.5K,10.0K
54,20,The Sandbox,"2,566.64",-15.09%,-6.75%,3.24,19.9K,162.1K
57,21,Sunmiya Club Official,"5,796,574.26",-45.99%,---,700,3.7K,10.0K
55,22,Cool Cats NFT,"2,397.55",-13.08%,+25.14%,8.1,5.3K,9.9K
56,23,Karafuru,"2,371.97",-66.83%,-27.66%,2.87,3.6K,5.6K
46,24,Worldwide Webb Land,"2,321.77",+1.59%,-29.65%,2.5,4.8K,9.5K
75,25,CatBlox Genesis Collection,"2,040.48",-66.21%,-58.07%,0.42,5.3K,10.0K
51,26,Acrocalypse,"1,800.07",-32.30%,+228.03%,0.31,3.9K,10.0K
74,27,Cool Pets NFT,"1,618.35",-19.25%,-46.75%,1.53,10.4K,18.6K
47,28,Metroverse,"1,607.37",+61.97%,+2.02%,1.78,451,10.0K
72,29,adidas Originals Into the Metaverse,"1,525.59",+18.62%,-23.66%,1.3,21.9K,1
48,30,Genesis Bloodshed Bears,"1,510.6",+205.34%,+30526.89%,0.14,1.4K,7.0K
49,31,"SYLTARE, Freezed","3,168,752.3",-100.00%,---,130,2.5K,8.9K
0,32,Weather Report Intl.,"1,311.2",-84.64%,---,0.1,4.9K,10.0K
44,33,The mfer chicks,"1,257.86",-40.27%,---,0.13,2.8K,5.6K
42,34,Llamaverse Genesis,"1,239.71",-62.05%,---,1.2,3.2K,4.0K
43,35,Meta Toy DragonZ,"2,724,738.59",-65.27%,-60.51%,3870,2.5K,9.7K
62,36,BYOLand,"1,153.02",+13.11%,+166.50%,2,3.0K,10.1K
41,37,Shadow Quest,"1,106.17",-20.74%,+435.54%,0.18,881,10.0K
39,38,CyberFrogz,"1,098.09",+16.00%,---,0.06,2.7K,5.6K
40,39,Bunny Buddies,"1,089.14",+251.22%,+22.86%,0.18,5.1K,8.9K
30,40,THE META KONGZ,"2,507,093.16",+47.39%,-47.94%,14900,3.7K,10.0K
61,41,G.rilla OFFICIAL,"2,450,882.11",-45.55%,-75.10%,1590,4.6K,10.0K
59,42,Champions Ascension,"1,060.04",-52.78%,---,0.4,2.9K,7.6K
36,43,JPEG Cards,"1,054.26",+137.23%,---,1.8,540,969
55,44,Bored Ape Kennel Club,"1,007.9",-55.59%,+55.74%,7.44,5.4K,9.6K
58,45,SYLTARE-OFFICIAL,"2,261,701.28",-39.80%,-19.31%,5100,2.5K,9.7K
32,46,Coolman's Universe,959.34,-12.79%,-59.67%,1.64,5.6K,10.0K
57,47,SoulZ Monogatari,900.33,-24.63%,-48.22%,0.39,4.9K,7.8K
1,48,Decentraland,876.02,+49.06%,-45.61%,4.63,6.8K,97.3K
53,49,Creepz Genesis,874.96,+72.01%,+0.43%,2.75,315,11.1K
27,50,SkuxxVerse Pass,874.66,-13.26%,-59.41%,0.36,3.0K,7.8K
52,51,World of Women,857.36,+73.06%,-30.86%,8.6,5.1K,10.0K
47,52,Meta Adventure Official,"1,969,552.52",+430.41%,---,584,4.7K,9.5K
50,53,HAPE PRIME,851.79,+71.69%,-51.40%,1.99,5.8K,8.2K
48,54,Hero Galaxy: Heroes,847.36,-7.03%,-55.65%,0.4,2.2K,5.6K
25,55,Parallel Alpha,829.81,+141.11%,+292.40%,< 0.01,41.7K,529
2,56,Meta Eagle Club. Galyverse by Gal Yosef,827.28,-39.43%,+177.72%,0.29,6.6K,12.0K
22,57,TURTLE TOWN NFT,806.62,-63.70%,---,0.05,4.3K,10.0K
20,58,Psychedelics Anonymous Genesis,791,-40.91%,-65.14%,3.6,6.0K,9.6K
21,59,Kaiju Mutants NFT,789.21,+7.87%,+82.77%,0.68,2.0K,3.5K
16,60,The Orbs by BT,777.06,-24.36%,-35.91%,0.95,1.4K,3.3K
19,61,Farm Land by Pixels,764.91,-29.71%,-2.35%,1,2.4K,5.0K
17,62,Art Blocks Curated,730.71,+49.20%,-25.53%,---,11.0K,52.3K
18,63,DeadFellaz,719.82,+125.73%,+46.05%,2.79,6.1K,10.0K
2,64,Elemental by Fang Lijun,690.46,-2.09%,+1376.22%,0.65,1.3K,2.0K
38,65,Kaiju Kingz,675.6,-62.77%,-9.41%,1.48,3.0K,5.1K
13,66,HUXLEY Comics,672.35,+118.09%,+32.12%,0.23,3.8K,27.8K
14,67,Tasty Bones XYZ,667.86,-45.01%,-88.43%,0.84,3.5K,5.0K
32,68,alien frens,657.33,+14.14%,-25.45%,1.5,6.7K,10.0K
35,69,Boss Beauties,649.92,+43.43%,+56.49%,2.47,5.5K,10.0K
33,70,RELI3F UKR,647.17,-72.00%,---,0.02,3.8K,37
11,71,Gray Boys,636.81,+35.80%,-65.78%,1.28,3.3K,10.0K
5,72,Sneaky Vampiress Syndicate,632.54,+90.17%,+1617.59%,0.22,5.9K,12.3K
9,73,Edenhorde,626.39,+172.09%,-90.67%,0.45,3.7K,8.7K
7,74,Critterz Plots,613.18,-31.46%,+1288.15%,0.16,1.4K,17.0K
30,75,Clementines Nightmare,593.23,+5.59%,-76.39%,0.68,3.8K,5.0K
6,76,hausphases by Haus,581.57,+56.52%,-19.09%,0.88,4.8K,7.8K
28,77,Deadfrenz Collection,580.55,-39.33%,+74.53%,0.37,5.5K,8.8K
26,78,Derage,577.74,-81.43%,---,0.07,1.6K,4.2K
27,79,ALPACADABRAZ 3D,571.73,-27.80%,+27.20%,0.19,8.0K,20.0K
4,80,The Habibiz,566.73,-19.90%,+23.19%,0.93,1.9K,4.9K
