,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items,uuid
75,1,Invisible Friends,"16,233.69",+23.88%,+21.54%,7.5,4.2K,5.0K,73f82eeb-dd73-41e3-afd8-f8077a2e7a6f
73,2,CyberBrokers V3,"5,964.47",-45.69%,---,2.08,3.3K,7.9K,cb961a4b-23df-4580-880b-1355a694bcee
74,3,WonderPals,"5,877.84",-31.84%,+176.27%,0.61,7.0K,10.0K,3cfbf3cc-acb4-4896-b631-9407163fad34
69,4,CryptoPunks,"5,753.07",-73.81%,+40.18%,---,3.4K,10.0K,1e7d9cde-0fdd-4738-896e-378f833bfcc3
72,5,Dippies,"5,316.45",+109.95%,---,0.39,5.3K,8.9K,255c4219-eae4-4094-8270-41c7c8c856f8
70,6,CLONE X - X TAKASHI MURAKAMI,"4,965.8",-36.69%,-4.37%,12,8.5K,19.0K,36c36546-dafa-49db-898a-018e33bd7f0b
71,7,Antonym: GENESIS,"4,715.46",-63.22%,---,0.64,5.6K,8.9K,7c1384f5-809f-4a98-acaf-3e3190f9f313
61,8,Bored Ape Yacht Club,"4,596.99",+22.75%,-51.81%,78.2,6.3K,10.0K,3f8618b5-3c8c-412c-90bb-067cd215ef3e
68,9,Azuki,"3,901.65",-76.27%,-29.23%,10.2,5.5K,10.0K,2c74e323-4c8f-4b43-a2ab-0c06e2b1dfc5
66,10,3Landers,"3,278.34",-1.70%,-81.20%,1.67,5.3K,10.0K,01db283d-c83f-4f09-9fe0-ec6b079ba4b3
67,11,Mutant Ape Yacht Club,"3,150.29",+54.92%,-34.46%,16.1,11.8K,18.0K,2240f987-33bc-4347-bb3b-40e30f193886
62,12,DentedFeelsNFT,"2,924.36",-41.74%,+288.95%,0.25,5.9K,11.1K,901a054d-8ca9-48bf-b065-7b7b14efacd7
65,13,The Sandbox,"2,417.05",-15.34%,-4.84%,2.97,20.2K,164.9K,bc0c5d4f-88d6-430d-acfb-c86ae9633726
63,14,NFT Worlds,"2,320.38",-15.35%,-69.43%,10.25,4.6K,10.0K,26fae929-f445-4aec-91aa-38040ffb8e70
64,15,HOWLERZ,"2,072.84",+10.09%,-45.13%,0.33,2.3K,5.0K,6a9400ac-d4b5-4871-a49d-f7aef79de2f0
45,16,DEGEN TOONZ COLLECTION,"2,066.93",-51.13%,-35.38%,0.66,4.3K,8.9K,d72871b6-6a6f-4362-9e7f-3d29f8c1fee1
60,17,The Walking Dead Official,"1,927.94",-81.89%,---,0.23,2.7K,5.0K,606749e2-3254-47d7-a43d-fc2dd3c60c8a
58,18,Doodles,"1,861.6",-37.84%,-40.52%,10.1,3.8K,10.0K,d45bdea2-90fa-4636-afab-4d67869c4d5b
59,19,mfers,"1,849.61",-60.50%,-77.07%,2.47,5.0K,10.0K,4f113299-5c12-4bdc-a6f2-0511126a83ae
54,20,RTFKT - MNLTH,"1,734.34",+0.54%,-50.22%,4.69,8.9K,1,42edf20b-a7c4-4bc4-a4f4-3c34d0e1a1c0
57,21,Meta Adventure Official,"3,985,352.86",-75.79%,+398435.29%,599,4.2K,10.0K,7efb5a49-53f0-4bca-827e-28fdc5f2c4a7
55,22,Satoshi Runners Official,"1,565.04",-9.78%,---,0.15,4.3K,7.8K,a7d79e98-8472-4017-8f3d-c509c45ef07c
56,23,Pixelmon - Generation 1,"1,433.97",-40.61%,-37.04%,0.27,5.4K,10.0K,2d372754-7250-41af-9f49-2f538fb7bf0c
46,24,Metroverse,"1,405.27",-29.84%,-14.44%,1.9,437,10.0K,8fe0efa0-de56-4cab-b12c-51e6ac863cc8
75,25,Karafuru,"1,401.67",-16.15%,-29.06%,2.4,3.7K,5.6K,16e8a3ca-afd8-400c-87a8-7384c58d4680
51,26,Grails by PROOF Collective,"1,349.86",+42.29%,+697.69%,3.2,697,1.0K,e7f451b2-7468-41dd-9b62-fba774a3ace3
74,27,Rubber Duck Bath Party,"1,349.15",-78.81%,---,0.09,5.8K,10.0K,f4e06b16-cbd8-44d0-ba20-bdef17960999
47,28,Mavia Land,"1,243.43",+69.46%,---,0.96,2.0K,5.3K,7117de33-16ad-4314-8675-a54c49db7b3b
72,29,Parallel Alpha,"1,177.54",-20.23%,+277.77%,< 0.01,42.4K,529,dc085b7f-9da9-4a2d-8879-64e93a27f6b7
48,30,VeeFriends,"1,169.32",-10.47%,+96.59%,16.53,5.2K,10.3K,546300e9-1897-4a01-9d3a-9aedc7fd6e69
49,31,Worldwide Webb Land,"1,167.81",-47.65%,-72.59%,1.8,4.8K,9.5K,5452a8a0-de4f-44c7-b71d-6af65b784be1
0,32,Art Blocks Curated,"1,084.83",-62.36%,+54.55%,---,11.0K,52.3K,832b7bb5-5a42-43d9-8064-e5b71617f7e8
44,33,Cool Cats NFT,"1,071.17",-8.31%,-54.53%,7.42,5.3K,9.9K,423b1b66-6734-426a-8cfa-a3f4cfa98dab
42,34,HUXLEY Comics,"1,029.09",-63.38%,+78.88%,0.24,3.6K,27.8K,6fc19f88-6afd-48e2-a61b-eb1336da4d4b
43,35,the sunnies collection,"1,026.86",-69.46%,---,0.08,4.7K,9.1K,bf7112a9-5a3f-4557-8400-4bb97490ad72
62,36,tubby cats by tubby collective,"1,018.27",-40.62%,-92.41%,0.3,10.2K,20.0K,81e196f8-a7bf-4125-b0f3-cee5fdd864fc
41,37,RaidParty Fighters,"1,016.28",+145.11%,+362.04%,0.81,862,8.9K,c3f30e6d-7e6c-4528-94be-11c020848c4e
39,38,SoulZ Monogatari,"1,014.32",-56.31%,-59.23%,0.13,4.5K,7.8K,9fed9441-8779-4d97-91e9-4d7103f7edcd
40,39,The Doggies (Snoop Dogg),982.83,-31.36%,-80.91%,0.37,6.9K,10.0K,1acfa1ba-e29d-4ef7-a13e-dee338dae30d
30,40,Starcatchers,979.73,+91.93%,-83.61%,0.44,5.5K,10.0K,922d3312-529e-4bc8-89d5-092a35431995
61,41,Decentraland,969.64,-61.37%,-9.39%,4.55,6.8K,97.3K,e5c5f42e-39d8-4dca-8141-8e8a0d8f6bf2
59,42,THE META KONGZ,"2,112,328.98",+166.56%,-27.19%,10800,3.4K,10.0K,85e26e61-0f38-4cfc-89e5-1c37e028727b
36,43,G.I. Toadz,908.94,-62.88%,---,0.08,2.6K,7.0K,1d9d533d-e33d-46ee-a50f-3c841455932a
55,44,CatBlox Genesis Collection,859.79,-10.44%,-72.88%,0.28,5.2K,10.0K,bb84fe86-8d34-4d4d-9cb7-c89196bbdb8d
58,45,CartoonsNFT,833.34,-63.16%,---,0.06,5.0K,7.8K,e4a835ce-96e9-4705-a394-afde91b05a32
32,46,"SYLTARE, Dawn of East","1,826,187.47",+33.11%,+5791.73%,1620,2.5K,9.0K,a5f39496-b2e9-468b-9a3e-b6660d9ecde8
57,47,Cool Pets NFT,757.62,+4.75%,-57.03%,1.3,10.3K,18.6K,8f3919d0-25e7-4349-9e40-24e92056169e
1,48,World of Women,752.13,-82.19%,-10.41%,7.3,5.1K,10.0K,2cdb3e1b-7950-4069-b2db-50c3ab515605
53,49,Not Your Bro,726.69,-59.54%,---,0.07,4.4K,10.0K,7731622d-80de-4d22-9059-840263f16e49
27,50,The Door of Dimension,"1,580,064.87",+73.18%,+4867.51%,740,2.8K,10.0K,e937e83e-c498-4764-9e63-8326369385e9
52,51,Loser Club Official,686.35,+249.60%,---,0.18,4.9K,10.0K,66588260-e802-49db-b818-907cb164b4a4
47,52,Troverse Planets,667.17,+90.07%,---,0.27,3.8K,8.9K,ebb2cb73-06c2-4be8-a68a-e49869549886
50,53,Clementines Nightmare,666.3,+3.26%,-27.00%,0.32,3.5K,5.0K,e275d34e-bc25-428c-9290-243b234970fd
48,54,Clay Friends,663.07,-8.25%,---,0.3,3.5K,5.0K,a25638e9-a2e3-4f3f-a1ff-658abba2a856
25,55,Bunny Buddies,629.09,+4.13%,-59.53%,0.11,5.0K,8.9K,cccf3d9c-a243-4c52-8b4f-39727c65aea2
2,56,Brian NFTS Collection By Braindom,626.45,-54.15%,---,0.25,2.3K,5.0K,bfb213c4-cc07-4e1c-be35-4fe8df3ecb35
22,57,Weather Report Intl.,623.55,-50.15%,-31.20%,0.09,5.0K,10.0K,d0913729-f2aa-4433-9906-13dcff6aa6f4
20,58,RaidParty Heroes,617.48,+174.34%,+130.30%,1.01,2.0K,5.3K,d9dc6e1e-1064-4484-aa43-d956f5839161
21,59,adidas Originals Into the Metaverse,611.22,-36.08%,-66.54%,1.19,21.9K,1,db5aaca3-56c3-43ea-bcc4-9cf865b66ee2
16,60,HAPE PRIME,610.34,+18.99%,-21.95%,1.3,5.8K,8.2K,02d58853-e777-4032-86b7-1b390b18db41
19,61,Kevin Punks,595.6,-36.00%,---,0.34,278,555,a368e268-eb4f-4a19-a2cc-a990a08b87e8
17,62,Champions Ascension,591.47,-22.38%,-17.74%,0.3,2.7K,7.6K,58595abe-815e-4ce9-85fe-efcb2b2b66c2
18,63,Meebits,586.05,+87.65%,+67.43%,3.44,5.7K,20.0K,ce6117f9-5c55-467f-89ad-12d9b5602de7
2,64,Bored Ape Kennel Club,585.43,-49.94%,-42.45%,6.99,5.4K,9.6K,32bc0698-a061-4e57-bbc3-394e695f9a29
38,65,Boss Beauties,571.29,-30.08%,+5.46%,1.98,5.5K,10.0K,f1be6a89-699d-4480-8959-8fc75cfed3c1
13,66,alien frens,562.61,+23.81%,-21.27%,1.52,6.8K,10.0K,9895a447-e19e-4743-bf77-9aa418969a48
14,67,G.rilla OFFICIAL,"1,291,676.18",-32.15%,-64.29%,899,4.3K,10.0K,9e0321f2-52f6-406b-80f8-71a3b7fbca38
32,68,Decentral Games ICE Poker,548.89,-28.60%,+6.88%,2,4.0K,19.5K,cedfef33-3c37-4865-b3b2-2004de2dda30
35,69,Meta Toy DragonZ,"1,248,044.01",-15.07%,-63.78%,2450,2.5K,9.7K,27fb44aa-6197-486c-9b99-f7127a493561
33,70,Loveless City Metropass,528.37,-68.82%,---,0.4,2.7K,3.3K,c6878f2e-6568-4a3b-9a5f-18463c858193
11,71,PROOF Collective,526.84,+58.06%,+150.17%,35.69,904,1.0K,a32a7da6-7d19-46ec-a6e8-4592abfd32cc
5,72,Capsule House,521.21,-54.38%,+51.05%,1.11,3.8K,10.0K,0be136e6-8775-48e3-8107-9e17916b9b03
9,73,Dogg on it: Death Row Mixtape Vol. 1,509.04,+12.89%,---,0.07,1.9K,30,9c1b8f3f-ead3-42ae-8068-f4b08691404d
7,74,Wabi Sabi Collective Genesis,499.98,-55.60%,---,0.12,3.5K,5.7K,4c062b45-e1dc-4ea4-a575-2b4884009f1c
30,75,Sunmiya Club Official,"1,140,128.79",-20.23%,-78.87%,600,3.4K,10.0K,773057c1-d819-4b2a-8c7d-8ca44dd1d6a0
6,76,Creepz Genesis,493.59,-29.01%,-43.41%,2.19,305,11.1K,96d6e9c8-2121-474b-bb46-c89ea4060c67
28,77,BYOLand,466.4,+60.62%,-64.93%,1.7,3.0K,10.1K,8da5f7b2-9f9a-4e35-a044-d34e49082d46
26,78,KPOPCTzen_Official,458.21,-27.99%,---,0.44,4.1K,7.0K,90be5f91-79f2-464e-8507-cf83e33888d0
27,79,Crypto Tech Women Collection NFT,451.63,-47.80%,+2460.63%,0.04,3.5K,8.8K,f01d79bb-8fe4-443d-8894-0db0856eec0a
4,80,Psychedelics Anonymous Genesis,442.49,-15.49%,-44.63%,3.05,6.0K,9.6K,64e3bbfe-b7c9-4860-8f14-22c1bb30a443
24,81,The Martians: Metaverse,439.23,-20.12%,+47.55%,0.97,3.0K,5.0K,d780c356-6741-4f35-a33c-439d8d2e8168
22,82,Coolman's Universe,437.27,-1.47%,-58.30%,1.25,5.7K,10.0K,3ca5fca6-e3a2-418a-a746-e1b10754e78f
23,83,Grandpa Ape Country Club,433.47,-7.34%,+27.88%,0.64,2.0K,5.0K,ae866fb6-fa60-4347-825b-ffd26b2f89b1
18,84,MetaHero Universe: Planet Tokens,431.45,-31.47%,+17.27%,0.29,11.8K,11,1702ff63-a74b-4691-ad6f-aa21d1f31b29
21,85,RTFKT - CloneX Mintvial,425.03,+1418.41%,+134.33%,29.98,516,517,671b8ee4-4a2c-4f59-82c2-0eebc5f95998
19,86,Quirkies Originals,421.8,+72.28%,-34.54%,0.54,2.4K,5.0K,54ab6f65-f485-49d9-ae38-23fe858cb2e5
20,87,Kaiju Kingz,418.71,+74.45%,-37.28%,1.45,3.0K,5.2K,769c88e2-743b-4559-803c-d27ac7b0907b
5,88,DeadFellaz,408.37,-45.81%,-41.26%,2.2,6.2K,10.0K,19c15b56-5391-49dd-bc20-bacf2c30ddf9
17,89,UglySweaters OFFICIAL,396.43,+114.40%,+577.48%,0.19,1.5K,65,f36cb913-8db5-4517-a6cf-9815cc90ec7f
15,90,Town Star,389.6,-8.07%,-34.33%,< 0.01,40.5K,473,52b7cf6b-51f0-46de-9f37-d70a4b20c443
16,91,Ringers by Dmitri Cherniak,386.53,---,+973.69%,44,283,1.0K,cbd4136d-3b79-4876-a403-e99d55632aaa
6,92,White Rabbit Producer Pass,382.64,-60.55%,---,0.21,474,1,c4bffb50-3d52-46b4-9f4b-08fa1f9a6a1b
14,93,MekaApes Game by OogaVerse,381.99,-31.77%,+23.34%,0.03,1.8K,36.0K,6354a853-b07f-43e5-a075-df46a532ff2f
12,94,AngelsDevilsNFT,377.65,-67.73%,+141.57%,0.07,2.7K,10.0K,0cc628a1-362f-4900-9b39-4ead4e36bbc1
13,95,CyberKongz VX,368.65,-70.25%,-2.36%,1.9,4.3K,14.8K,0a17cb0d-8987-4b57-b16a-a6aa7e706b3d
7,96,CryptoRayRays,360.86,-58.10%,+2024.02%,0.12,4.7K,9.6K,b24cf85b-018d-4987-9a00-773f85fac093
11,97,Llamaverse Genesis,358.65,+57.78%,-68.82%,1.49,3.2K,4.0K,9bcdcfd4-2d3c-4ddd-a031-c67eedd0a9e4
8,98,Azuki Mfer,358.21,-26.76%,---,0.02,2.9K,10.0K,8a633b88-f9af-4cd7-9742-5508248b3728
9,99,Shadow Quest,351.59,-17.96%,-66.18%,0.13,663,10.0K,f891de5d-2f77-4530-a0ab-ec237124d97d
10,100,Project NANOPASS,347.48,+29.02%,-21.40%,1.97,4.0K,5.6K,435979c0-313b-4f39-b425-4218506a6829
75,101,BFF Friendship Bracelets,345.7,-70.37%,+369.54%,0.88,6.6K,7.4K,25a63ea6-6da0-4067-94ea-f91ee8c0ed63
73,102,The Sandbox Metavex LAND Sale,344.61,-100.00%,---,---,2,3,8349045e-af5a-4a37-8e20-f98126a9e7da
74,103,Chromie Squiggle by Snowfro,343.58,-37.77%,+72.24%,6.66,2.3K,9.3K,475743aa-19ad-42ca-9d23-68ecab7ddb5c
69,104,ASM Brains,335.36,-62.81%,+19.14%,3.8,2.6K,7.3K,614a84a3-8a8d-47de-a328-ff4700dc63b6
72,105,CyberKongz,330.45,-48.79%,-17.23%,7.1,2.4K,5.0K,e70d85f1-d4a0-4e09-b229-31f8d0ce04b6
70,106,KlayCity District,"748,381.92",-100.00%,+50.15%,11800,624,1.0K,6220cf7d-f1fa-4a02-89d8-35f32383aa57
71,107,Farm Land by Pixels,323.23,+16.12%,-67.69%,0.99,2.4K,5.0K,d9fa5676-ceb4-490e-b194-69d2c113df2d
53,108,Acrocalypse,319.86,-49.06%,-82.94%,0.38,3.9K,10.0K,7c66d874-f58d-4604-9a54-bf422fcbea8c
68,109,Supreme Kong,319.71,-13.34%,-40.98%,0.66,1.2K,2.0K,0a652607-5840-4043-a69a-8995b5ae2b58
66,110,Sneaky Vampiress Syndicate,319.15,-43.08%,-48.10%,0.09,5.7K,12.3K,c3158328-0a70-429d-a5bf-3badb739b8ad
67,111,DourDarcels,316.07,+548.24%,---,0.17,4.0K,10.0K,fb88e4da-313e-46f0-b377-ee733b7a4397
54,112,Funcles NFT,314.79,+33.59%,+94.33%,0.06,2.1K,3.3K,8681be98-08c1-4b91-b286-09f99c9e3982
65,113,Genesis Bloodshed Bears,310.59,-12.76%,-76.09%,0.05,1.5K,7.0K,980c658c-2c19-4378-a62e-52ff8b031c6f
63,114,Voyagers: Unknown | 304-X,308.64,-40.36%,---,0.3,1.3K,2.1K,2d295fb3-7122-449c-b233-939818e746b6
64,115,Gray Boys,307.82,-46.77%,-70.40%,1.17,3.3K,10.0K,fc430520-3089-4d6e-b15b-d9adee53f681
55,116,JRNY CLUB OFFICIAL,307.35,+149.00%,-3.40%,3.3,6.8K,10.0K,a731577a-72ed-4520-a36c-8203db30654f
62,117,hausphases by Haus,303.45,-45.70%,-49.93%,0.8,4.9K,7.8K,7b22d86c-1e4f-4013-8497-1f55e0546f6f
